,0,1,2
0,Stavroz live! presented by Zero,The Wiilliamsburg Hotel,"Fri, 12 Apr 2019 /"
1,Club Night Club presents: Pariah,TBA - Brooklyn,"Fri, 12 Apr 2019 /"
2,Ladyfag presents No Frills,Kings Hall - Avant Gardner,"Fri, 12 Apr 2019 /"
3,"Kindergarten with DJ Bus Replacement Service, Ma Sha & Zanzie",Elsewhere,"Fri, 12 Apr 2019 /"
4,Quantic Residency with Darker Than Wax Plus Fixed x Love Tempo,Good Room,"Fri, 12 Apr 2019 /"
5,Jamie Tiller (Music From Memory) + Jonny Nash (Melody as Truth),public records,"Fri, 12 Apr 2019 /"
6,Glitterati with Soul Summit [All Night Long],House Of Yes,"Fri, 12 Apr 2019 /"
7,"The Selectors x NOMAD present Sepp & Nu Zau, Ms. Mada, Taimur, KO. b2b Emma, More TBA",Rose Gold,"Fri, 12 Apr 2019 /"
8,"Party: DJ Python, Bianca Lexis and ARP",Nowadays,"Fri, 12 Apr 2019 /"
9,8ball x Common Contact: Safe Shelters Fundraiser,The Deep End,"Fri, 12 Apr 2019 /"
10,"Sweatshop with Jada Kingdom, DJ Tunez, DJ Buka & More",Elsewhere,"Fri, 12 Apr 2019 /"
11,Access presents Ace Alvarez: Deraout: Efra: Jeff Veliz,Analog Brooklyn,"Fri, 12 Apr 2019 /"
12,Schimanski presents: MK,Schimanski,"Fri, 12 Apr 2019 /"
13,Afterhours - Bushwick A/V x Sain't & Don't: Deaf Pillow / Kike Mayor / Christian Campos,Polygon BK,"Fri, 12 Apr 2019 /"
14,D'Noir AM Afterhours feat. Matt Sassari & Brian Mejia,Polygon BK,"Fri, 12 Apr 2019 /"
15,Cavali NY Nightclub Kourture Fridays Everyone Free Onlist (Gametight),Cavali NY,"Fri, 12 Apr 2019 /"
16,"Mild Fantasy with False Witness, Heidi Sabertooth & Elle Dee",Mood Ring,"Fri, 12 Apr 2019 /"
17,"Effervescence // Aquatic Themes, Downloadable Content, Kowloon Baby",Baby's All Right,"Fri, 12 Apr 2019 /"
18,Easy,Le Bain,"Fri, 12 Apr 2019 /"
19,Modal Form 27: Phil Moffa / M Parent / Kohl,Jupiter Disco,"Fri, 12 Apr 2019 /"
20,Lqqk Studio with DJ Healthy x Dondero x DJ Fire,Black Flamingo,"Fri, 12 Apr 2019 /"
21,Jonny Nash + Emil Abramyan,public records,"Fri, 12 Apr 2019 /"
22,"Sleepy & Boo, Gian-Paul B2B DeBease, Willem",El Cortez / The Safari Room,"Fri, 12 Apr 2019 /"
23,"Gavin Rayna Russom, Sybil Jason, Fougere & Perrx",Bossa Nova Civic Club,"Fri, 12 Apr 2019 /"
24,I Feel: Superhero Utopia,TBA - Brooklyn,"Fri, 12 Apr 2019 /"
25,SUB:MERGE Presents: Sunk:. VI - SUB:Merge vs Kontrol Room,Sunnyvale,"Fri, 12 Apr 2019 /"
26,House Music Happy Hour with DJ Mkhuseli,Bean & Barley Harlem,"Fri, 12 Apr 2019 /"
27,"Charlotte de Witte, Monoloc, Victor Ruiz",Avant Gardner,"Sat, 13 Apr 2019 /"
28,"Dévotion x Naturklang New York with Special Guest, Bondi (Live) & More",Elsewhere,"Sat, 13 Apr 2019 /"
29,"KUNÁ: DAVI, Eli Light, Mashrik, Gonzo",TBA - Brooklyn,"Sat, 13 Apr 2019 /"
30,ReSolute with Fumiya Tanaka & Cap,TBA - New York,"Sat, 13 Apr 2019 /"
31,The Carry Nation April 2019,Good Room,"Sat, 13 Apr 2019 /"
32,"The Bunker with Forest Drive West, Christina Chatfield, Antenes",Market Hotel,"Sat, 13 Apr 2019 /"
33,ebb + flow with Death On The Balcony & Melokolektiv,The Library At The Williamsburg Hotel,"Sat, 13 Apr 2019 /"
34,M.E.S.H. & Aurora Halal,Elsewhere,"Sat, 13 Apr 2019 /"
35,"Rave: Beta Librae, Juana and Cera Khin",Nowadays,"Sat, 13 Apr 2019 /"
36,Afterhours - Bushwick A/V: Klienfeld/ Cry Baby/ Mira Fahrenheit/ Kate/ Rozen/ Carmine Tony,Polygon BK,"Sat, 13 Apr 2019 /"
37,Play NOW! by Susanne Bartsch & Linux,3 Dollar Bill,"Sat, 13 Apr 2019 /"
38,ILL Behaviour with Love & Logic / Renegade Masters / Fatima / Kate,TBA Brooklyn,"Sat, 13 Apr 2019 /"
39,Spring Awakening with Anna Morgan,House Of Yes,"Sat, 13 Apr 2019 /"
