,permalink,company,numEmps,category,city,state,fundedDate,raisedAmt,raisedCurrency,round
0,lifelock,LifeLock,,web,Tempe,AZ,1-May-07,6850000,USD,b
1,lifelock,LifeLock,,web,Tempe,AZ,1-Oct-06,6000000,USD,early stage
2,lifelock,LifeLock,,web,Tempe,AZ,1-Jan-08,25000000,USD,c
3,mycityfaces,MyCityFaces,7.0,web,Scottsdale,AZ,1-Jan-08,50000,USD,early stage
4,flypaper,Flypaper,,web,Phoenix,AZ,1-Feb-08,3000000,USD,early stage
5,infusionsoft,Infusionsoft,105.0,software,Gilbert,AZ,1-Oct-07,9000000,USD,early stage
6,gauto,gAuto,4.0,web,Scottsdale,AZ,1-Jan-08,250000,USD,early stage
7,chosenlist-com,ChosenList.com,5.0,web,Scottsdale,AZ,1-Oct-06,140000,USD,early stage
8,chosenlist-com,ChosenList.com,5.0,web,Scottsdale,AZ,25-Jan-08,233750,USD,early stage
9,digg,Digg,60.0,web,San Francisco,CA,1-Dec-06,8500000,USD,b
10,digg,Digg,60.0,web,San Francisco,CA,1-Oct-05,2800000,USD,early stage
11,facebook,Facebook,450.0,web,Palo Alto,CA,1-Sep-04,500000,USD,early stage
12,facebook,Facebook,450.0,web,Palo Alto,CA,1-May-05,12700000,USD,early stage
13,facebook,Facebook,450.0,web,Palo Alto,CA,1-Apr-06,27500000,USD,b
14,facebook,Facebook,450.0,web,Palo Alto,CA,1-Oct-07,300000000,USD,c
15,facebook,Facebook,450.0,web,Palo Alto,CA,1-Mar-08,40000000,USD,c
16,facebook,Facebook,450.0,web,Palo Alto,CA,15-Jan-08,15000000,USD,c
17,facebook,Facebook,450.0,web,Palo Alto,CA,1-May-08,100000000,USD,debt_round
18,photobucket,Photobucket,60.0,web,Palo Alto,CA,1-May-06,10500000,USD,b
19,photobucket,Photobucket,60.0,web,Palo Alto,CA,1-Mar-05,3000000,USD,early stage
20,omnidrive,Omnidrive,,web,Palo Alto,CA,1-Dec-06,800000,USD,early stage
21,geni,Geni,18.0,web,West Hollywood,CA,1-Jan-07,1500000,USD,early stage
22,geni,Geni,18.0,web,West Hollywood,CA,1-Mar-07,10000000,USD,b
23,twitter,Twitter,17.0,web,San Francisco,CA,1-Jul-07,5400000,USD,b
24,twitter,Twitter,17.0,web,San Francisco,CA,1-May-08,15000000,USD,c
25,stumbleupon,StumbleUpon,,web,San Francisco,CA,1-Dec-05,1500000,USD,early stage
26,gizmoz,Gizmoz,,web,Menlo Park,CA,1-May-07,6300000,USD,early stage
27,gizmoz,Gizmoz,,web,Menlo Park,CA,16-Mar-08,6500000,USD,b
28,scribd,Scribd,14.0,web,San Francisco,CA,1-Jun-06,12000,USD,early stage
29,scribd,Scribd,14.0,web,San Francisco,CA,1-Jan-07,40000,USD,early stage
30,scribd,Scribd,14.0,web,San Francisco,CA,1-Jun-07,3710000,USD,early stage
31,slacker,Slacker,,web,San Diego,CA,1-Jun-07,40000000,USD,b
32,slacker,Slacker,,web,San Diego,CA,1-Jun-07,13500000,USD,early stage
33,lala,Lala,,web,Palo Alto,CA,1-May-07,9000000,USD,early stage
34,plaxo,Plaxo,50.0,web,Mountain View,CA,1-Nov-02,3800000,USD,early stage
35,plaxo,Plaxo,50.0,web,Mountain View,CA,1-Jul-03,8500000,USD,b
36,plaxo,Plaxo,50.0,web,Mountain View,CA,1-Apr-04,7000000,USD,c
37,plaxo,Plaxo,50.0,web,Mountain View,CA,1-Feb-07,9000000,USD,d
38,powerset,Powerset,60.0,web,San Francisco,CA,1-Jun-07,12500000,USD,early stage
39,technorati,Technorati,25.0,web,San Francisco,CA,1-Jun-06,10520000,USD,c
40,technorati,Technorati,25.0,web,San Francisco,CA,1-Sep-04,6500000,USD,b
41,technorati,Technorati,25.0,web,San Francisco,CA,13-Jun-08,7500000,USD,d
42,technorati,Technorati,25.0,web,San Francisco,CA,10-May-07,1000000,USD,c
43,mahalo,Mahalo,40.0,web,Santa Monica,CA,1-Jan-06,5000000,USD,early stage
44,mahalo,Mahalo,40.0,web,Santa Monica,CA,1-Jan-07,16000000,USD,b
45,kyte,Kyte,40.0,web,San Francisco,CA,1-Jul-07,2250000,USD,early stage
46,kyte,Kyte,40.0,web,San Francisco,CA,1-Dec-07,15000000,USD,b
47,kyte,Kyte,40.0,web,San Francisco,CA,10-Mar-08,6100000,USD,b
48,veoh,Veoh,,web,San Diego,CA,1-Apr-06,12500000,USD,b
49,veoh,Veoh,,web,San Diego,CA,1-Aug-07,25000000,USD,c
50,veoh,Veoh,,web,San Diego,CA,1-Jul-05,2250000,USD,early stage
51,veoh,Veoh,,web,San Diego,CA,3-Jun-08,30000000,USD,d
52,jingle-networks,Jingle Networks,,web,Menlo Park,CA,1-Oct-06,30000000,USD,c
53,jingle-networks,Jingle Networks,,web,Menlo Park,CA,1-Dec-05,5000000,USD,early stage
54,jingle-networks,Jingle Networks,,web,Menlo Park,CA,1-Apr-06,26000000,USD,b
55,jingle-networks,Jingle Networks,,web,Menlo Park,CA,1-Oct-05,400000,USD,early stage
56,jingle-networks,Jingle Networks,,web,Menlo Park,CA,1-Jan-08,13000000,USD,c
57,ning,Ning,41.0,web,Palo Alto,CA,1-Jul-07,44000000,USD,c
58,ning,Ning,41.0,web,Palo Alto,CA,1-Apr-08,60000000,USD,d
59,jotspot,JotSpot,,web,Palo Alto,CA,1-Aug-04,5200000,USD,early stage
60,mercora,Mercora,,web,Sunnyvale,CA,1-Jan-05,5000000,USD,early stage
61,wesabe,Wesabe,,web,San Francisco,CA,1-Feb-07,700000,USD,early stage
62,wesabe,Wesabe,,web,San Francisco,CA,1-Jun-07,4000000,USD,early stage
63,jangl,Jangl,22.0,web,Pleasanton,CA,1-Jul-06,7000000,USD,b
64,hyphen8,Hyphen 8,4.0,web,San Francisco,CA,1-Oct-07,100000,USD,early stage
65,prosper,Prosper,,web,San Francisco,CA,1-Jun-07,20000000,USD,c
66,prosper,Prosper,,web,San Francisco,CA,1-Apr-05,7500000,USD,early stage
67,prosper,Prosper,,web,San Francisco,CA,1-Feb-06,12500000,USD,b
68,google,Google,20000.0,web,Mountain View,CA,1-Jun-99,25000000,USD,early stage
69,jajah,Jajah,80.0,web,Mountain View,CA,1-May-07,20000000,USD,c
70,jajah,Jajah,80.0,web,Mountain View,CA,1-Mar-06,3000000,USD,early stage
71,jajah,Jajah,80.0,web,Mountain View,CA,1-Apr-06,5000000,USD,b
72,youtube,YouTube,,web,San Bruno,CA,1-Nov-05,3500000,USD,early stage
73,youtube,YouTube,,web,San Bruno,CA,1-Apr-06,8000000,USD,b
74,ustream,Ustream,,web,Mountain View,CA,1-Dec-07,2000000,USD,early stage
75,ustream,Ustream,,web,Mountain View,CA,10-Apr-08,11100000,USD,early stage
76,gizmoproject,GizmoProject,,web,San Diego,CA,1-Feb-06,6000000,USD,early stage
77,adap-tv,Adap.tv,15.0,web,San Mateo,CA,1-Jul-07,10000000,USD,early stage
78,topix,Topix,,web,Palo Alto,CA,1-Nov-06,15000000,USD,b
79,revision3,Revision3,,web,San Francisco,CA,1-Sep-06,1000000,USD,early stage
80,revision3,Revision3,,web,San Francisco,CA,1-Jun-07,8000000,USD,b
81,aggregateknowledge,Aggregate Knowledge,,web,San Mateo,CA,1-Jun-06,5000000,USD,early stage
82,aggregateknowledge,Aggregate Knowledge,,web,San Mateo,CA,1-Apr-07,20000000,USD,b
83,sugarinc,Sugar Inc,,web,San Francisco,CA,1-Oct-06,5000000,USD,early stage
84,sugarinc,Sugar Inc,,web,San Francisco,CA,1-Jun-07,10000000,USD,b
85,zing,Zing,,web,Mountain View,CA,1-Jan-07,13000000,USD,early stage
86,criticalmetrics,CriticalMetrics,4.0,web,,CA,1-Jan-07,100000,USD,early stage
87,spock,Spock,30.0,web,Redwood City,CA,1-Dec-06,7000000,USD,early stage
88,wize,Wize,,web,,CA,1-Jan-07,4000000,USD,early stage
89,sodahead,SodaHead,,web,,CA,1-Jan-07,4250000,USD,early stage
90,sodahead,SodaHead,,web,,CA,25-Jun-08,8400000,USD,b
91,casttv,CastTV,0.0,web,San Francisco,CA,1-Apr-07,3100000,USD,early stage
92,buzznet,BuzzNet,,web,Hollywood,CA,1-May-07,6000000,USD,early stage
93,buzznet,BuzzNet,,web,Hollywood,CA,7-Apr-08,25000000,USD,b
94,funny-or-die,Funny Or Die,,web,Palo Alto,CA,1-Dec-07,15000000,USD,b
95,sphere,Sphere,11.0,web,San Francisco,CA,1-May-06,3000000,USD,b
96,sphere,Sphere,11.0,web,San Francisco,CA,1-Apr-05,500000,USD,early stage
